PassengerId,CryoSleep,Cabin,Age,VIP,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Group,TotalSpent,HomePlanet_Europa,HomePlanet_Mars,Destination_PSO J318.5-22,Destination_TRAPPIST-1e,GroupSize,IsAlone
0001_01,1,B/0/P,39.0,0,0.0,0.0,0.0,0.0,0.0,False,1,0.0,True,False,False,True,1,1
0002_01,0,F/0/S,24.0,0,109.0,9.0,25.0,549.0,44.0,True,2,736.0,False,False,False,True,1,1
0003_01,0,A/0/S,58.0,1,43.0,3576.0,0.0,6715.0,49.0,False,3,10383.0,True,False,False,True,2,0
0003_02,0,A/0/S,33.0,0,0.0,1283.0,371.0,3329.0,193.0,False,3,5176.0,True,False,False,True,2,0
0004_01,0,F/1/S,16.0,0,303.0,70.0,151.0,565.0,2.0,True,4,1091.0,False,False,False,True,1,1
0005_01,0,F/0/P,44.0,0,0.0,483.0,0.0,291.0,0.0,True,5,774.0,False,False,True,False,1,1
0006_01,0,F/2/S,26.0,0,42.0,1539.0,3.0,0.0,0.0,True,6,1584.0,False,False,False,True,2,0
0006_02,1,G/0/S,28.0,0,0.0,0.0,0.0,0.0,0.0,True,6,0.0,False,False,False,True,2,0
0007_01,0,F/3/S,35.0,0,0.0,785.0,17.0,216.0,0.0,True,7,1018.0,False,False,False,True,1,1
0008_01,1,B/1/P,14.0,0,0.0,0.0,0.0,0.0,0.0,True,8,0.0,True,False,False,False,3,0
0008_02,1,B/1/P,34.0,0,0.0,0.0,0.0,0.0,0.0,True,8,0.0,True,False,False,True,3,0
0008_03,0,B/1/P,45.0,0,39.0,7295.0,589.0,110.0,124.0,True,8,8157.0,True,False,False,False,3,0
0009_01,0,F/1/P,32.0,0,73.0,0.0,1123.0,0.0,113.0,True,9,1309.0,False,True,False,True,1,1
0010_01,0,G/1/S,48.0,0,719.0,1.0,65.0,0.0,24.0,False,10,809.0,False,False,False,True,1,1
0011_01,0,F/2/P,28.0,0,8.0,974.0,12.0,2.0,7.0,True,11,1003.0,False,False,False,True,1,1
0012_01,0,,31.0,0,32.0,0.0,876.0,0.0,0.0,False,12,908.0,False,False,False,True,1,1
0014_01,0,F/3/P,27.0,0,1286.0,122.0,0.0,0.0,0.0,False,14,1408.0,False,True,False,False,1,1
0015_01,0,F/4/P,24.0,0,0.0,1.0,0.0,0.0,637.0,False,15,638.0,False,False,False,False,1,1
0016_01,1,F/5/P,45.0,0,0.0,0.0,0.0,0.0,0.0,True,16,0.0,False,True,False,True,1,1
0017_01,1,G/0/P,0.0,0,0.0,0.0,0.0,0.0,0.0,True,17,0.0,False,False,False,True,2,0
0017_02,0,F/6/P,14.0,0,412.0,0.0,1.0,0.0,679.0,False,17,1092.0,False,False,False,False,2,0
0020_01,1,E/0/S,1.0,0,0.0,0.0,0.0,0.0,0.0,False,20,0.0,False,False,False,True,6,0
0020_02,1,E/0/S,49.0,0,0.0,0.0,0.0,0.0,0.0,False,20,0.0,False,False,False,False,6,0
0020_03,1,E/0/S,29.0,0,0.0,0.0,0.0,0.0,0.0,False,20,0.0,False,False,False,False,6,0
0020_04,1,E/0/S,10.0,0,0.0,0.0,0.0,0.0,0.0,True,20,0.0,False,False,False,True,6,0
0020_05,1,E/0/S,1.0,0,0.0,0.0,0.0,0.0,0.0,False,20,0.0,False,False,True,False,6,0
0020_06,1,E/0/S,7.0,0,0.0,0.0,0.0,0.0,0.0,False,20,0.0,False,False,False,True,6,0
0022_01,0,D/0/P,21.0,0,980.0,2.0,69.0,0.0,0.0,False,22,1051.0,False,True,False,True,1,1
0024_01,1,C/2/S,62.0,0,0.0,0.0,0.0,0.0,0.0,True,24,0.0,True,False,False,True,1,1
0025_01,0,F/6/S,15.0,0,0.0,225.0,0.0,998.0,0.0,False,25,1223.0,False,False,False,True,1,1
0026_01,0,C/0/P,34.0,0,22.0,6073.0,0.0,1438.0,328.0,False,26,7861.0,True,False,False,False,1,1
0028_01,0,F/8/P,43.0,0,1125.0,0.0,136.0,48.0,0.0,False,28,1309.0,False,True,False,True,1,1
0030_01,0,G/4/S,32.0,0,0.0,850.0,81.0,437.0,453.0,False,30,1821.0,False,False,False,True,1,1
0031_01,0,F/9/P,47.0,0,214.0,0.0,1411.0,0.0,1229.0,True,31,2854.0,False,True,False,True,3,0
0031_02,1,F/9/P,2.0,0,0.0,0.0,0.0,0.0,0.0,True,31,0.0,False,True,False,True,3,0
0031_03,0,F/9/P,20.0,0,0.0,0.0,1750.0,990.0,0.0,True,31,2740.0,False,True,False,True,3,0
0034_01,1,D/1/S,28.0,0,0.0,0.0,0.0,0.0,0.0,True,34,0.0,True,False,False,False,1,1
